review_id,game_id,critic_score,user_score
1,12992,7.7,8
2,11020,10,8.2
3,1962,8,7.5
4,6551,8.2,9.1
5,8635,8.6,4.7
6,6970,10,7.8
7,12994,8,8.8
8,8697,9.4,8.8
9,7844,9.1,8.1
10,7848,8.6,9.2
11,11454,9.4,8.7
12,1476,8,3.3
13,3074,7.5,8.3
14,12990,5.9,6.5
15,6549,9.3,8.7
16,5827,6.7,
17,8026,8.4,8.5
18,6550,9.1,9.4
19,8677,9.2,8.8
20,12984,7.9,
21,12985,8,
22,11039,8.5,9.3
23,4389,9.4,8.3
24,4389,9.7,8.4
25,1241,8.1,
26,11125,9.4,9.7
27,6547,8.2,8.3
28,11028,,
29,8674,8.6,
30,11033,9.9,9
31,11772,9.9,10
32,8706,8,4.6
33,4395,9.5,9.1
34,11023,9.8,9.3
35,4147,,
36,8709,8.9,9.7
37,12603,9.2,8.4
38,8698,8.8,8.6
39,8704,9,7.7
40,4397,9.6,8.8
41,4389,10,
42,8665,8.6,9
43,1470,8.1,4.9
44,1963,9.3,
45,10461,8.6,8.3
46,4366,9.3,8.9
47,1239,8,
48,1478,8.7,
49,1469,8.8,
50,8711,8.7,8.8
51,4612,9.6,9.5
52,8688,8.3,7.4
53,11440,8.8,8.6
54,9244,9.8,7.9
55,1471,9.3,
56,1471,9.3,
57,1477,9.5,9
58,425,9,5.4
59,1488,8,4.3
60,1478,8.8,
61,7845,7.5,7.3
62,11121,9.2,9.7
63,6615,9.1,8.7
64,4386,9.5,
65,8769,9.7,9
66,6970,8.5,
67,11025,9.7,9.6
68,8679,8.6,
69,11012,8.9,8.4
70,1469,8.7,
71,4389,9.6,7.7
72,426,8.6,8.8
73,12005,9.3,9.4
74,2517,9,4.1
75,4600,9.7,
76,8676,8.3,
77,13143,9.2,8
78,8716,8,6.2
79,4369,8.3,
80,11014,9.7,9
81,3658,8.3,3.4
82,11736,9.5,9.1
83,4367,8.7,
84,427,8.5,
85,11029,9,8.5
86,4387,10,
87,11015,8.6,
88,4286,9.7,10
89,10764,8.7,
90,3657,8.9,4.8
91,4362,9.5,
92,12005,9.2,9.2
93,1477,9.5,
94,4387,10,9
95,11018,9.2,9.5
96,1474,6.9,
97,5585,7.5,
98,1474,7.5,
99,10600,8.2,8.5
100,11034,7.3,7.5
101,4960,9.1,8
102,9503,8.3,
103,4621,9.3,
104,8768,9,
105,4614,9.8,
